MATRIKS RISK ISSUE,,,,,,,,Aktivitas Unit Kerja,,,Contoh Temuan
NO,MEGA,No,MAJOR,No,SUB MAJOR,CODE,RISK ISSUE,KC,KR,KP,
,,2.3,Proses Manajemen Risiko,2.3.1,"Identifikasi, Pengukuran, Pemantauan dan Pengendalian Risiko",PPR1,Proses penetapan definisi & kategori risiko tidak sesuai dengan proses bisnis,,,√,Identifikasi risiko tidak sejalan dengan proses bisnis Lembaga
,,,,,,PPR2,Risk issue yang dibreakdown ke Unit Kerja tidak relevan dengan risiko yang dihadapi ,,,√,RCSA tidak sesuai dengan identifikasi pada Kantor Cabang
,,,,,,PPR3,Kegagalan manajemen krisis,,,√,
,,2.4,"Pengelolaan Aset, Logistik & Penunjang",2.4.1,Pelaksanaan Pengadaan Barang & Jasa,PBJ1,"Proses pengadaan barang/jasa IT, non IT, dan jasa konsultan tidak sesuai ketentuan",√,√,√,"Proses pembelian barang tidak ditatakerjakan dengan baik (kuitansi tidak ada, hilang, dll)"
,,,,,,PBJ2,Pengadaan/sewa barang/jasa atau jasa konsultan tidak mendapat harga yang terbaik (terjadi markup),√,√,√,Adanya MarkUp pembelian barang/pembayaran jasa (Sewa Gedung)
,,,,,,PBJ3,Persetujuan biaya pengadaan barang dan jasa tidak sesuai dengan kewenangan/ketentuan,√,√,√,Pembelian atas barang dengan yang tidak sesuai dengan limit kewenangannya
,,,,,,PBJ4,"Dokumentasi proses pengadaan, sewa barang/ jasa tidak lengkap",√,√,√,Dokumen pembelian asset tidak lengkap
,,,,2.4.2,Distribusi Barang & Jasa,DBJ1,"Distribusi barang dan jasa tidak efektif dan efisien (skala prioritas, tepat waktu, tempat tujuan/peruntukan, jumlah dan jenis barang, kualitas barang)",√,√,√,"Pendistribusian dokumen/ kebutuhan kantor cabang tidak dapat dipenuhi dengan tepat waktu, tidak sesuai dengan kebutuhan."
,,,,2.4.3,Pemeliharaan Aktiva,PAT1,"Pencatatan aktiva tetap atau barang inventaris tidak tertib atau tidak akurat (penambahan,  penghapusbukuan, mutasi/relokasi)",√,√,√,"Kondisi aset tetap rusak tidak dapat digunakan
Perpindahan aset tidak dilakukan mutasi di data fixed aset
Aset baru belum ditambahkan
Tagging aset belum dilakukan"
,,,,,,PAT2,Bukti kepemilikan aktiva tetap/barang inventaris tidak sah/tidak ditatakerjakan sesuai dengan ketentuan,√,√,√,Sertifikat rumah/kantor tidak ditatakerjakan dengan baik
,,,,,,PAT3,Aktiva tetap tidak diasuransikan sesuai ketentuan,√,√,√,Aset belum diasuransikan (kendaraan bermotor)
,,,,,,PAT4,Penghapusbukuan aktiva tidak sesuai dengan ketentuan,√,,√,Penjualan asset tanpa permohonan terlebih dahulu
,,,,,,PAT5,Pelaksanaan lelang aktiva tetap tidak sesuai dengan ketentuan,√,√,√,Penjualan Aset/Inventaris yang dilakukan tidak sesuai dengan ketentuan
,,,,,,PAT6,"Pengelolaan inventaris, peralatan & perlengkapan kantor tidak memadai",√,√,√,"Kartu stock di cabang tidak ada/ tidak update
Inventaris kantor tidak dilakukan service atau maintenance
Pengambilan/pencurian/penggelapan barang fixed asset/non fixed asset untuk kepentingan pribadi"
,,,,2.4.4,Pengelolaan Penyedia Jasa,PPJ1,Tidak tersedia data profil rekanan/penyedia jasa yang akurat ,,,√,
,,,,,,PPJ2,Pengembalian aktiva tetap (IT dan Non IT) oleh pekerja pihak ketiga yang sudah tidak berwenang tidak dilakukan dengan tertib,,,√,
,,2.5,Manajemen SDM,2.5.1,Rekrutmen dan Penempatan,RKT1,Proses pemenuhan SDM tidak sesuai dengan ketentuan dan standar kompetensi yang ditetapkan,,√,√,
,,,,,,RKT2,Pemenuhan SDM tidak sesuai dengan formasi,,√,√,
,,,,,,RKT3,Pemenuhan SDM tidak sesuai jadwal (terlambat),,√,√,
,,,,2.5.2,Pelatihan / Pengembangan / Pembinaan SDM,PLT1,Pengembangan karir pekerja (rotasi dan promosi) tidak sesuai pola pendekatan kompetensi,,√,√,
,,,,,,PLT2,Pelaksanaan training tidak sesuai training need assessments (TNA) atau kebutuhan lembaga,,√,√,
,,,,,,PLT3,Evaluasi penilaian kinerja pekerja tidak obyektif,√,√,√,
,,,,,,PLT4,Pegawai tidak melakukan kode etik KOMIDA sesuai ketentuan,√,√,√,"Karyawan yang melakukan pelanggaran kode etik KOMIDA (misal. Pelanggaran terhadap prinsip perlindungan anggota, pinjam meminjam uang diantara karyawan yang menyebabkan keresahan maupun ketidakharmonisan, benturan kepentingan akibat persaudaraan maupun pertemanan, bekerja dengan tidak menjunjung etika profesi, membocorkan rahasia lembaga, dll)
Menerima Gratifikasi (Meminta Fee dalam bentuk barang/uang kepada anggota atau pihak ketiga)
Atasan mempergunakan jabatannya dalam rangka mempermudah approval pinjaman karyawan dengan tujuan untuk memperoleh keuntungan (Misal Share-disbursement Pinjaman KOPKADA)"
